State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Chhatarpur,Kharif,20,10,0.5,19,7,0.37,35,9,0.26,32,17,0.53,40,22,0.55,44,21,0.48,236,121,0.51,263,115,0.44,177,94,0.53,,,,26,14,0.54,19,8,0.42,,,,73,45,0.62,2000,3000,1.5,,,,,,,10,30,3,14,8,0.57,14,8,0.57,,,,2,1,0.5,12,8,0.67
12. Chhindwara,Kharif,315,231,0.73,336,225,0.67,121,49,0.4,79,61,0.77,107,94,0.88,78,54,0.69,105,91,0.87,37,34,0.92,35,31,0.89,,,,110,106,0.96,110,134,1.22,,,,6,3,0.5,2000,3000,1.5,,,,,,,,,,142,166,1.17,7,8,1.14,6,6,1,,,,1,1,1
13. Damoh,Kharif,2,2,1,1,1,1,100,45,0.45,166,214,1.29,56,74,1.32,61,75,1.23,68,79,1.16,71,74,1.04,22,31,1.41,,,,7,14,2,1400,2692,1.92,14,21,1.5,1,1,1,2000,5000,2.5,,,,,,,,,,,,,3,6,2,,,,,,,,,
14. Datia,Kharif,653,1007,1.54,584,676,1.16,1223,683,0.56,1144,1213,1.06,1091,858,0.79,1014,1310,1.29,1022,1188,1.16,2164,1385,0.64,813,1588,1.95,,,,910,1066,1.17,1092,1424,1.3,963,1661,1.72,806,889,1.1,3000,5000,1.67,1000,2000,2,5000,7000,1.4,,,,1983,3302,1.67,2610,3485,1.34,4788,8810,1.84,3204,3063,0.96,4774,5423,1.14
15. Dewas,Kharif,63,50,0.79,59,47,0.8,51,33,0.65,49,46,0.94,37,37,1,58,38,0.66,36,36,1,56,41,0.73,74,96,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,1.5,,,,,,,5,5,1,,,
16. Dhar,Kharif,5601,1706,0.3,5871,2383,0.41,6327,2328,0.37,5726,2985,0.52,5606,2712,0.48,5559,2456,0.44,5266,2476,0.47,5173,2261,0.44,4673,2339,0.5,,,,3742,2330,0.62,3672,1960,0.53,3261,3407,1.04,2845,3755,1.32,6000,9000,1.5,3000,4000,1.33,2000,1000,0.5,2900,2910,1,1623,2498,1.54,1790,2692,1.5,1811,1902,1.05,2009,1999,1,1599,1745,1.09
17. Dindori,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,
18. Guna,Kharif,55,85,1.55,205,229,1.12,236,103,0.44,332,464,1.4,241,330,1.37,54,84,1.56,162,260,1.6,168,140,0.83,83,105,1.27,,,,62,116,1.87,80,129,1.61,61,95,1.56,69,89,1.29,,,,,,,,,,,,,26,52,2,8,14,1.75,11,16,1.45,14,18,1.29,3,5,1.67
19. Gwalior,Kharif,2305,4981,2.16,3906,8615,2.21,5606,2998,0.53,13151,26356,2,6981,13685,1.96,5779,13561,2.35,5915,13181,2.23,9648,11462,1.19,9717,21161,2.18,,,,10085,25910,2.57,10317,27437,2.66,9089,22652,2.49,7047,13650,1.94,8000,14000,1.75,9000,18000,2,10000,28000,2.8,11900,19020,1.6,18778,45293,2.41,17097,33710,1.97,19122,29352,1.53,21195,29461,1.39,19003,30215,1.59
20. Harda,Kharif,3,2,0.67,7,6,0.86,23,18,0.78,31,30,0.97,40,40,1,3,3,1,27,30,1.11,2,1,0.5,2,3,1.5,,,,2,3,1.5,,,,,,,,,,1000,1000,1,,,,,,,,,,1,1,1,2,1,0.5,1,1,1,3,3,1,1,1,1
