State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,20,0,0,21,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,15,,0,8,,0,,,0,,,0,495,3375,6.82,78,520,6.67,306,3109,10.16,273,1820,6.67,310,3400,10.97,,,0,130,1300,10,,,0,,,0,,,0
20. Sirsa,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2350,7.12,377,2305,6.11,370,1855,5.01,450,7327,16.28,305,4280,14.03,355,4295,12.1,387,3200,8.27,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,50,,0,34,,0,,,,6,,0,12,,0,,,,,,,,,,,,,,,,300,300,1,50,60,1.2,20,12,0.6,17,17,1,115,115,1,245,245,1,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,50,,0,34,,0,,,0,6,,0,12,,0,,,0,,,0,330,2350,7.12,377,2305,6.11,370,1855,5.01,750,7627,10.17,355,4340,12.23,375,4307,11.49,404,3217,7.96,115,115,1,245,245,1,,,0
21. Sonipat,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,21000,8.08,2630,18700,7.11,2650,17150,6.47,2617,13994,5.35,3200,24000,7.5,3200,25000,7.81,1750,35250,20.14,,,,,,,,,
,Rabi,233,300,1.29,,,,341,400,1.17,359,500,1.39,359,500,1.39,266,400,1.5,,,,50,100,2,13,,0,78,100,1.28,17,,0,44,,0,,,,,,,,,,,,,,,,,,,,,,52,52,1,9,9,1,,,,,,
,Total,233,300,1.29,,,0,341,400,1.17,359,500,1.39,359,500,1.39,266,400,1.5,,,0,50,100,2,13,,0,78,100,1.28,17,,0,44,,0,,,0,2600,21000,8.08,2630,18700,7.11,2650,17150,6.47,2617,13994,5.35,3200,24000,7.5,3200,25000,7.81,1802,35302,19.59,9,9,1,,,0,,,0
22. Yamunanagar,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,3600,6.92,505,2600,5.15,490,4300,8.78,429,4365,10.17,535,5450,10.19,500,6110,12.22,210,5950,28.33,,,,,,,,,
,Rabi,21,0,0,,,,44,100,2.27,29,0,0,25,,0,49,100,2.04,,,,10,,0,6,,0,10,,0,31,,0,6,,0,28,29,1.04,,,,,,,,,,,,,,,,24,29,1.21,67,94,1.4,67,94,1.4,20,0,0,,,
,Total,21,0,0,,,0,44,100,2.27,29,0,0,25,,0,49,100,2.04,,,0,10,,0,6,,0,10,,0,31,,0,6,,0,28,29,1.04,520,3600,6.92,505,2600,5.15,490,4300,8.78,429,4365,10.17,535,5450,10.19,524,6139,11.72,277,6044,21.82,67,94,1.4,20,0,0,,,0
