State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bishnupur,Kharif,18660,50320,2.7,19020,51410,2.7,17050,48370,2.84,16470,55040,3.34,21740,63390,2.92,16030,48180,3.01,15210,40820,2.68,17200,50940,2.96,27500,96380,3.5,16480,50400,3.06,26510,82990,3.13,29430,110150,3.74,13850,38200,2.76,28710,106450,3.71,29860,82350,2.76,33330,87250,2.62,33360,111920,3.35,31480,113470,3.6,29860,113400,3.8,20159,53440,2.65,20813,77210,3.71,23810,67880,2.85,23000,31880,1.39
2. Chandel,Kharif,9410,11680,1.24,8820,12220,1.39,5610,5930,1.06,7240,12040,1.66,8230,18740,2.28,7540,13080,1.73,8520,15880,1.86,7890,16030,2.03,10290,10410,1.01,4380,3510,0.8,10030,9370,0.93,10030,14940,1.49,6730,8700,1.29,10030,12480,1.24,10030,16020,1.6,10030,12300,1.23,10030,15250,1.52,10010,11570,1.16,10030,11750,1.17,9482,16544,1.74,11251,34984,3.11,10030,11200,1.12,10030,10790,1.08
3. Churachandpur,Kharif,12600,23490,1.86,13780,26120,1.9,22880,47540,2.08,20080,38370,1.91,21040,40380,1.92,20370,37500,1.84,23190,43740,1.89,19720,35410,1.8,29320,24320,0.83,12040,9630,0.8,29120,25180,0.86,29120,33780,1.16,16550,18730,1.13,29120,33000,1.13,29120,46880,1.61,29120,33140,1.14,29120,44610,1.53,29040,31070,1.07,29120,34000,1.17,21410,37898,1.77,21413,42285,1.97,29120,32430,1.11,26260,21170,0.81
4. Imphal east,Kharif,31170,87640,2.81,31370,86250,2.75,25830,57100,2.21,25090,64090,2.55,30210,89690,2.97,25750,67780,2.63,24290,70810,2.92,26710,74170,2.78,33400,118700,3.55,12500,38700,3.1,33340,99360,2.98,34960,115180,3.29,15650,44000,2.81,36040,129750,3.6,36040,87000,2.41,36650,108090,2.95,41640,117590,2.82,40690,134700,3.31,39590,125370,3.17,25369,52798,2.08,23997,60950,2.54,33460,88750,2.65,28750,41380,1.44
5. Imphal west,Kharif,15870,51350,3.24,16480,52150,3.16,20230,58960,2.91,17080,54940,3.22,23130,71540,3.09,19170,62610,3.27,18890,57530,3.05,22540,67990,3.02,33720,122970,3.65,23260,73650,3.17,35750,115230,3.22,39130,135120,3.45,23100,62720,2.72,38480,134600,3.5,38980,106470,2.73,43450,111270,2.56,45380,157000,3.46,43740,144350,3.3,42580,135800,3.19,22968,56346,2.45,23356,69795,2.99,29820,67960,2.28,24540,25130,1.02
6. Senapati,Kharif,23230,53230,2.29,23880,53790,2.25,23520,47970,2.04,25970,62740,2.42,24110,53870,2.23,29810,60140,2.02,25200,53690,2.13,23820,54310,2.28,12280,14320,1.17,5190,4890,0.94,12100,11550,0.95,12100,18300,1.51,7050,10100,1.43,12100,19200,1.59,12100,19420,1.6,12100,14440,1.19,12100,18270,1.51,12100,15250,1.26,12100,17200,1.42,24455,10517,0.43,26701,77541,2.9,12100,13830,1.14,12100,13830,1.14
7. Tamenglong,Kharif,9190,10960,1.19,10640,13150,1.24,7450,9090,1.22,10070,9530,0.95,8520,9110,1.07,9580,10550,1.1,9520,12560,1.32,8850,16860,1.91,27450,24040,0.88,16400,13060,0.8,27450,22710,0.83,27450,30040,1.09,15100,17620,1.17,27450,32580,1.19,27450,41970,1.53,27450,34370,1.25,27450,41410,1.51,27440,29500,1.08,27450,30430,1.11,18497,22403,1.21,19873,28439,1.43,27450,27440,1,27450,23900,0.87
8. Thoubal,Kharif,23230,60480,2.6,24080,59590,2.47,17270,36370,2.11,22140,52880,2.39,25750,60110,2.33,22640,50880,2.25,27150,63110,2.32,27330,61950,2.27,26910,96750,3.6,17650,65740,3.72,28260,104640,3.7,31330,117450,3.75,16890,47100,2.79,30750,114230,3.71,30680,85320,2.78,34750,95080,2.74,34800,123690,3.55,32100,115320,3.59,32650,120700,3.7,25159,63833,2.54,24551,81848,3.33,24120,57540,2.39,24130,55440,2.3
9. Ukhrul,Kharif,13530,32600,2.41,14500,32590,2.25,13270,24370,1.84,13690,31610,2.31,13580,29100,2.14,15370,35350,2.3,13400,31030,2.32,12090,28490,2.36,10120,10360,1.02,5990,5510,0.92,10120,9210,0.91,10120,16040,1.58,7770,10410,1.34,10120,15380,1.52,10120,16550,1.64,10120,12200,1.21,10120,15860,1.57,10110,12590,1.25,10120,13780,1.36,8122,17101,2.11,6541,17624,2.69,10120,11220,1.11,10120,9300,0.92
