State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Groundnut),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,20.25,14.4,0.71,20.3,16,0.79,30,27,0.9,1.7,1.4,0.82,4.5,3,0.67,1.2,0.6,0.5,0.5,0.75,1.5,,,0,2,1.2,0.6,3,1.7,0.57,5.5,3,0.55,5.5,3.1,0.56,4.5,2.7,0.6
10. Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,3.84,18.22,4.74,4,2.7,0.68,,,,9.7,5.1,0.53,0.6,5.5,9.17,0.5,0.5,1,,,,,,,,,,,,,,,,1.5,1.7,1.13,,,
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,86.7,96.4,1.11,91,136.5,1.5,73.5,103.2,1.4,75.4,176.1,2.34,96.5,456,4.73,65,240,3.69,49.5,116.8,2.36,30.62,17.58,0.57,12.23,26.46,2.16,15.37,44.05,2.87,35.55,103.97,2.92,11.71,35.14,3,15.14,34.22,2.26
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,73,253,3.47,67.5,201,2.98,42,112,2.67,45,111.5,2.48,70,141.5,2.02,55,111.5,2.03,54,99.52,1.84,13,20,1.54,20.2,22.5,1.11,5.22,12.95,2.48,6.37,8.31,1.3,46.6,79,1.7,,,
Total (Maize),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,163.54,367.62,2.25,162.5,340.2,2.09,115.5,215.2,1.86,130.1,292.7,2.25,167.1,603,3.61,120.5,352,2.92,103.5,216.32,2.09,43.62,37.58,0.86,32.43,48.96,1.51,20.59,57,2.77,41.92,112.28,2.68,59.81,115.84,1.94,15.14,34.22,2.26
11. Moong(Green Gram),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,1.5,1.1,0.73,,,,,,,,,,0.6,1.2,2,0.6,1.2,2,1.6,0.64,0.4,,,,,,,,,,1.955,6.04,3.09,,,,,,
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,1168.6,556.55,0.48,824.6,492.5,0.6,563.6,267.6,0.47,305.2,131.3,0.43,898.5,448.3,0.5,884.7,541.6,0.61,759.1,221.13,0.29,193.5,60.25,0.31,99.8,20.96,0.21,359.6,215.07,0.6,219.55,89.07,0.41,200.29,65.48,0.33,201.05,72.95,0.36
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,29.9,17.85,0.6,25.8,13.4,0.52,19.9,8.3,0.42,14,7.6,0.54,10.9,6,0.55,7.2,2.3,0.32,5.2,0.98,0.19,0.5,0.3,0.6,,,,3.92,2.08,0.53,10.33,2.69,0.26,10.33,2.69,0.26,5.9,3.54,0.6
