State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Sunflower),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3.9,2.4,0.62,,,0,,,0,,,0,,,0,0.5,0.2,0.4,0.5,0.4,0.8,,,0,0.2,0.6,3,,,0,,,0,,,0,,,0
19. Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,22,208,9.45,23,240,10.43,26,155.5,5.98,8.5,50.7,5.96,16.5,165,10,13,130,10,10,83,8.3,7.47,308.26,41.27,2.14,60.56,28.3,4.64,132.56,28.57,5.4,131.11,24.28,6,126.5,21.08,24.5,150,6.12
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,109,480,4.4,101,425,4.21,93.6,548.7,5.86,104.4,1787,17.12,76.6,1621.5,21.17,24.5,185,7.55,30,223,7.43,31.69,486.17,15.34,26.87,260.97,9.71,30.11,198.43,6.59,34.43,387.01,11.24,23.03,202.23,8.78,21.45,272.72,12.71
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,32,235,7.34,26,180,6.92,25.4,145.8,5.74,55.5,855.5,15.41,55.9,875.5,15.66,46,445,9.67,27,547,20.26,5.5,546.3,99.33,5,160,32,6.55,318.55,48.63,20.1,265.26,13.2,20.6,273.54,13.28,21.75,287.75,13.23
Total (Sweet potato),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,163,923,5.66,150,845,5.63,145,850,5.86,168.4,2693.2,15.99,149,2662,17.87,83.5,760,9.1,67,853,12.73,44.66,1340.73,30.02,34.01,481.53,14.16,41.3,649.54,15.73,59.93,783.38,13.07,49.63,602.27,12.14,67.7,710.47,10.49
20. Turmeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,2,0.5,0.25,2,1,0.5,2,12.1,6.05,,,,,,,,,,5,0.9,0.18,5,0.9,0.18,3.83,0.65,0.17,5.4,9.8,1.81,4,2,0.5,2,1.2,0.6,1,0.51,0.51
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,68,376.5,5.54,68.6,380.4,5.55,67,403.5,6.02,63.4,559.5,8.82,93.8,725.5,7.73,89,894.4,10.05,89.5,878.25,9.81,83.73,729.91,8.72,51.63,193.03,3.74,51.91,120.23,2.32,52.82,205.08,3.88,54.2,176.63,3.26,41.24,9.14,0.22
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,10,105,10.5,9.5,103.7,10.92,9,54.4,6.04,17.1,16.21,0.95,18.8,167.2,8.89,19.5,129.6,6.65,19.01,446.01,23.46,13.82,175.2,12.68,15.85,119.7,7.55,13.88,74.37,5.36,10.1,55.16,5.46,6.55,59.11,9.02,6.92,43.76,6.32
Total (Turmeric),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,80,482,6.03,80.1,485.1,6.06,78,470,6.03,80.5,575.71,7.15,112.6,892.7,7.93,108.5,1024,9.44,113.51,1325.16,11.67,102.55,906.01,8.83,71.31,313.38,4.39,71.19,204.4,2.87,66.92,262.24,3.92,62.75,236.94,3.78,49.16,53.41,1.09
21. Urad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Rabi,,,,,,,,,,,,,,,,,,,,,,1.5,1.16,0.77,,,,,,,6.3,2.5,0.4,,,,,,,,,,,,,,,,,,,2.045,5,2.44,,,,,,
2. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,1059.5,458.79,0.43,735.4,407.6,0.55,663.8,347.1,0.52,242.3,111.9,0.46,547.4,323.6,0.59,518.5,374.2,0.72,755.75,243.66,0.32,338.1,98.54,0.29,181.2,29.24,0.16,154.9,83.08,0.54,405,159.03,0.39,356.39,107,0.3,330.2,118.08,0.36
3. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,34,15.05,0.44,9.5,3.3,0.35,17.6,8.5,0.48,6.5,3.1,0.48,4.7,1.7,0.36,6.5,1.8,0.28,5,1,0.2,16.7,17.5,1.05,,,,1,0.02,0.02,5.55,0.04,0.01,5.55,0.04,0.01,1.2,0.59,0.49
Total (Urad),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1095,475,0.43,744.9,410.9,0.55,681.4,355.6,0.52,255.1,117.5,0.46,552.1,325.3,0.59,525,376,0.72,760.75,244.66,0.32,354.8,116.04,0.33,181.2,29.24,0.16,155.9,83.1,0.53,412.595,164.07,0.4,361.94,107.04,0.3,331.4,118.67,0.36
