State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. West siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,45,0.88,55,44,0.8,27,30,1.11,20,22,1.1,20,22,1.1,22,25,1.14,23,26,1.13
Total (Arhar/Tur),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,790,643,0.81,806,665,0.83,816,705,0.86,819,712,0.87,819,712,0.87,854,751,0.88,884,786,0.89
2. Groundnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Anjaw,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35,1.17,32,37,1.16,32,37,1.16,32,37,1.16,32,37,1.16,34,27,0.79,44,32,0.73
2. Changlang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,131,0.45,115,322,2.8,115,322,2.8,115,322,2.8,115,322,2.8,119,286,2.4,139,310,2.23
3. Dibang valley,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,32,0.86,39,34,0.87,39,34,0.87,39,34,0.87,39,34,0.87,40,34,0.85,40,34,0.85
4. East siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,79,1.55,53,51,0.96,55,53,0.96,55,55,1,55,55,1,66,68,1.03,91,83,0.91
5. Kra daadi,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,1.14,11,13,1.18,11,13,1.18,11,13,1.18,11,13,1.18,12,13,1.08,12,13,1.08
6. Kurung kumey,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1.17,9,11,1.22,9,11,1.22,9,11,1.22,9,11,1.22,10,10,1,10,10,1
7. Lohit,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,1.15,15,17,1.13,15,17,1.13,15,17,1.13,15,17,1.13,19,20,1.05,34,25,0.74
8. Lower dibang valley,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,126,1.8,177,94,0.53,177,94,0.53,177,94,0.53,177,97,0.55,187,119,0.64,225,148,0.66
9. Lower subansiri,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,1,12,17,1.42,12,17,1.42,13,17,1.31,13,17,1.31,17,19,1.12,27,29,1.07
10. Namsai,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,145,2.13,186,38,0.2,186,38,0.2,186,38,0.2,186,40,0.22,194,117,0.6,234,127,0.54
11. Papum pare,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,196,0.87,187,129,0.69,187,129,0.69,188,129,0.69,189,134,0.71,199,150,0.75,239,188,0.79
12. Siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,0.7,22,69,3.14,22,69,3.14,22,69,3.14,22,69,3.14,26,45,1.73,36,55,1.53
13. Upper subansiri,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,51,1.09,49,53,1.08,49,53,1.08,49,53,1.08,49,53,1.08,54,61,1.13,64,66,1.03
14. West siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,1.4,12,16,1.33,12,16,1.33,12,16,1.33,12,16,1.33,17,18,1.06,22,23,1.05
Total (Groundnut),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,888,868,0.98,919,901,0.98,921,903,0.98,923,905,0.98,924,915,0.99,994,987,0.99,1217,1143,0.94
3. Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Anjaw,Kharif,,,,,,,,,,,,,2453,2674,1.09,3000,2700,0.9,3234,3719,1.15,3360,3763,1.12,3461,4049,1.17,3490,4257,1.22,3450,4485,1.3,3560,4747,1.33,3995,3885,0.97,3595,3885,1.08,1290,3197,2.48,1335,3268,2.45,1410,3283,2.33,1435,3371,2.35,1444,3408,2.36,1448,3461,2.39,1450,3505,2.42,1550,3720,2.4,1565,3759,2.4
2. Changlang,Kharif,864,1322,1.53,985,1473,1.5,915,1373,1.5,918,1432,1.56,920,1440,1.57,1460,2090,1.43,762,1204,1.58,1181,1759,1.49,1227,1346,1.1,635,794,1.25,860,1118,1.3,887,1183,1.33,875,1050,1.2,880,1074,1.22,945,1476,1.56,990,1547,1.56,1065,1558,1.46,1090,1646,1.51,1099,1683,1.53,1103,1736,1.57,1105,1780,1.61,1205,1928,1.6,1225,1962,1.6
3. Dibang valley,Kharif,5780,8900,1.54,2550,3050,1.2,936,389,0.42,950,1045,1.1,1393,1533,1.1,1515,1697,1.12,1846,1770,0.96,1334,1504,1.13,1350,1550,1.15,1350,1550,1.15,1750,2362,1.35,1806,2500,1.38,1825,2590,1.42,1828,2650,1.45,1828,2650,1.45,1873,2721,1.45,1948,2732,1.4,1973,2820,1.43,1982,2857,1.44,1986,2910,1.47,1990,2954,1.48,2090,3104,1.49,2101,3124,1.49
4. East kameng,Kharif,1731,3115,1.8,2750,5300,1.93,1830,3200,1.75,2010,2697,1.34,1995,3481,1.74,2318,3220,1.39,4298,3497,0.81,2453,3131,1.28,2490,3211,1.29,2500,3245,1.3,2510,3295,1.31,2590,3488,1.35,2615,3608,1.38,2635,3636,1.38,2700,4038,1.5,2745,4109,1.5,2820,4120,1.46,2845,4208,1.48,2854,4245,1.49,2001,3009,1.5,2003,3053,1.52,2103,3205,1.52,2118,3232,1.53
