State/Crop/District,Season,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14450,26010,1.8,10716,26790,2.5,12455,26156,2.1,13796,31731,2.3,15648,45379,2.9,4959,14381,2.9
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,461,1.8,74,185,2.5,129,335,2.6,1057,2431,2.3,184,534,2.9,2000,3600,1.8
,Total,2778.16,3011.53,1.08,3156.77,4299.52,1.36,2478.72,3497.72,1.41,2530.1,1634.44,0.65,2484.2,4159,1.67,2283.23,2653,1.16,1751.13,1942,1.11,1985,1741,0.88,,,0,1629,2738,1.68,1272,1525,1.2,1571,56,0.04,2429,2094,0.86,2907,4076,1.4,2566,8460,3.3,14706,26471,1.8,10790,26975,2.5,12584,26491,2.11,14853,34162,2.3,15832,45913,2.9,6959,17981,2.58
4. Dhanbad,Autumn,1353.91,1150.82,0.85,1544.38,1740.52,1.13,968.27,1147.39,1.18,663.62,875.98,1.32,694.59,727,1.05,585.72,3300,5.63,316.65,281,0.89,302,213,0.71,,,,327,223,0.68,295,60,0.2,349,417,1.19,346,236,0.68,237,295,1.24,447,65,0.15,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482,6205,2.5,2211,5528,2.5,2183,5239,2.4,2618,6283,2.4,2619,6286,2.4,883,2119,2.4
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,0
,Total,1353.91,1150.82,0.85,1544.38,1740.52,1.13,968.27,1147.39,1.18,663.62,875.98,1.32,694.59,727,1.05,585.72,3300,5.63,316.65,281,0.89,302,213,0.71,,,0,327,223,0.68,295,60,0.2,349,417,1.19,346,236,0.68,237,295,1.24,447,65,0.15,2482,6205,2.5,2211,5528,2.5,2183,5239,2.4,2618,6283,2.4,2619,6286,2.4,1183,2119,1.79
5. Dumka,Autumn,11002.27,16503.4,1.5,11046.54,14150.62,1.28,11095.85,29570.04,2.66,9110.9,11470.62,1.26,9729.03,21189,2.18,8925.94,13130,1.47,10201.7,14894,1.46,10579,13806,1.31,,,,8181,17818,2.18,8096,11059,1.37,8921,28284,3.17,8945,19008,2.12,8633,10964,1.27,8710,30450,3.5,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21510,64530,3,22152,50064,2.26,19956,49890,2.5,25337,63343,2.5,16811,42028,2.5,7431,17834,2.4
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,2275,2.5,314,675,2.15,1056,2270,2.15,195,419,2.15,464,1002,2.16,736,1472,2
,Total,11002.27,16503.4,1.5,11046.54,14150.62,1.28,11095.85,29570.04,2.66,9110.9,11470.62,1.26,9729.03,21189,2.18,8925.94,13130,1.47,10201.7,14894,1.46,10579,13806,1.31,,,0,8181,17818,2.18,8096,11059,1.37,8921,28284,3.17,8945,19008,2.12,8633,10964,1.27,8710,30450,3.5,22420,66805,2.98,22466,50739,2.26,21012,52160,2.48,25532,63762,2.5,17275,43030,2.49,8167,19306,2.36
6. East singhbum,Autumn,,,,1253.32,995.14,0.79,590.68,759.61,1.29,597.98,694.85,1.16,621.93,1414,2.27,1464.56,1508,1.03,426.46,559,1.31,330,548,1.66,,,,274,291,1.06,386,312,0.81,425,559,1.32,393,461,1.17,373,377,1.01,405,747,1.84,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11111,17000,1.53,10638,15957,1.5,8510,12765,1.5,11229,23581,2.1,7210,17304,2.4,7683,18631,2.42
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,1013,1.35,600,900,1.5,615,923,1.5,450,765,1.7,420,798,1.9,1700,3315,1.95
,Total,,,0,1253.32,995.14,0.79,590.68,759.61,1.29,597.98,694.85,1.16,621.93,1414,2.27,1464.56,1508,1.03,426.46,559,1.31,330,548,1.66,,,0,274,291,1.06,386,312,0.81,425,559,1.32,393,461,1.17,373,377,1.01,405,747,1.84,11861,18013,1.52,11238,16857,1.5,9125,13688,1.5,11679,24346,2.08,7630,18102,2.37,9383,21946,2.34
7. Garhwa,Autumn,,,,7419.8,16813.27,2.27,9696.73,11034.87,1.14,8309.58,5957.97,0.72,5971.09,11130,1.86,6622.62,6099,0.92,6503.59,6387,0.98,4534,2630,0.58,,,,8032,7936,0.99,8484,10393,1.23,12546,18242,1.45,18552,44469,2.4,22627,16291,0.72,18810,33294,1.77,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18684,21487,1.15,18416,29797,1.62,22059,35736,1.62,22304,56875,2.55,22130,56432,2.55,19564,39128,2
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,78,1.2,250,233,0.93,100,88,0.88,100,207,2.07,260,538,2.07,2000,2400,1.2
,Total,,,0,7419.8,16813.27,2.27,9696.73,11034.87,1.14,8309.58,5957.97,0.72,5971.09,11130,1.86,6622.62,6099,0.92,6503.59,6387,0.98,4534,2630,0.58,,,0,8032,7936,0.99,8484,10393,1.23,12546,18242,1.45,18552,44469,2.4,22627,16291,0.72,18810,33294,1.77,18749,21565,1.15,18666,30030,1.61,22159,35824,1.62,22404,57082,2.55,22390,56970,2.54,21564,41528,1.93
8. Giridih,Autumn,9656.45,8488.01,0.88,6824.42,8086.94,1.19,5562.32,6190.86,1.11,5562.32,3904.75,0.7,5922.05,5887,0.99,6418.36,6470,1.01,4202.83,2564,0.61,4206,2296,0.55,,,,3865,2690,0.7,5306,5724,1.08,376,403,1.07,3841,3730,0.97,3872,3036,0.78,18615,41791,2.25,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18415,34068,1.85,19920,45517,2.28,20873,31476,1.51,21153,40064,1.89,19324,36812,1.9,16937,28319,1.67
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28,1.4,20,28,1.4,20,28,1.4,25,38,1.52,27,41,1.52,500,710,1.42
,Total,9656.45,8488.01,0.88,6824.42,8086.94,1.19,5562.32,6190.86,1.11,5562.32,3904.75,0.7,5922.05,5887,0.99,6418.36,6470,1.01,4202.83,2564,0.61,4206,2296,0.55,,,0,3865,2690,0.7,5306,5724,1.08,376,403,1.07,3841,3730,0.97,3872,3036,0.78,18615,41791,2.25,18435,34096,1.85,19940,45545,2.28,20893,31504,1.51,21178,40102,1.89,19351,36853,1.9,17437,29029,1.66
9. Godda,Autumn,4690.39,5398.63,1.15,4701.54,5655.95,1.2,4583.72,6220.1,1.36,6926.14,7978.91,1.15,4233.22,6976,1.65,4810.38,12671,2.63,3721.8,5047,1.36,2326,3805,1.64,,,,2802,4091,1.46,10841,19535,1.8,10361,14723,1.42,9566,12398,1.3,6112,7212,1.18,11955,17060,1.43,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13563,27194,2.01,9845,11076,1.13,7153,4220,0.59,7900,8888,1.13,12330,30825,2.5,8559,22039,2.57
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,2088,1.74,1154,2089,1.81,620,1476,2.38,600,1140,1.9,661,1606,2.43,3000,5220,1.74
,Total,4690.39,5398.63,1.15,4701.54,5655.95,1.2,4583.72,6220.1,1.36,6926.14,7978.91,1.15,4233.22,6976,1.65,4810.38,12671,2.63,3721.8,5047,1.36,2326,3805,1.64,,,0,2802,4091,1.46,10841,19535,1.8,10361,14723,1.42,9566,12398,1.3,6112,7212,1.18,11955,17060,1.43,14763,29282,1.98,10999,13165,1.2,7773,5696,0.73,8500,10028,1.18,12991,32431,2.5,11559,27259,2.36
10. Gumla,Autumn,1936.99,2151.99,1.11,1865.51,2760.95,1.48,3640.53,3520.39,0.97,1995.21,2591.78,1.3,1942.59,3231,1.66,2126.13,2152,1.01,2045.39,2121,1.04,1937,2171,1.12,,,,1790,2425,1.35,1561,2908,1.86,1960,3085,1.57,1768,2877,1.63,2000,2762,1.38,1766,4954,2.81,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6797,17849,2.63,4702,12000,2.55,7577,18852,2.49,8100,26908,3.32,8100,26908,3.32,7642,19907,2.6
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,1036,2,50,100,2,40,80,2,915,2277,2.49,920,2420,2.63,1500,3000,2
,Total,1936.99,2151.99,1.11,1865.51,2760.95,1.48,3640.53,3520.39,0.97,1995.21,2591.78,1.3,1942.59,3231,1.66,2126.13,2152,1.01,2045.39,2121,1.04,1937,2171,1.12,,,0,1790,2425,1.35,1561,2908,1.86,1960,3085,1.57,1768,2877,1.63,2000,2762,1.38,1766,4954,2.81,7315,18885,2.58,4752,12100,2.55,7617,18932,2.49,9015,29185,3.24,9020,29328,3.25,9142,22907,2.51
11. Hazaribagh,Autumn,8017,7656.24,0.96,5811,7786.74,1.34,5526.04,8791.92,1.59,6084.97,7119.41,1.17,5823.36,8287,1.42,4982.8,5900,1.18,3131.26,2051,0.66,2101,2233,1.06,,,,4157,4772,1.15,3726,5410,1.45,4415,7126,1.61,5190,8029,1.55,5393,6418,1.19,5033,8873,1.76,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12380,30207,2.44,9715,23705,2.44,9344,23360,2.5,13719,29702,2.17,11054,22937,2.07,9444,19596,2.07
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,45,1.5,34,51,1.5,,,,286,593,2.07,62,43,0.69
,Total,8017,7656.24,0.96,5811,7786.74,1.34,5526.04,8791.92,1.59,6084.97,7119.41,1.17,5823.36,8287,1.42,4982.8,5900,1.18,3131.26,2051,0.66,2101,2233,1.06,,,0,4157,4772,1.15,3726,5410,1.45,4415,7126,1.61,5190,8029,1.55,5393,6418,1.19,5033,8873,1.76,12380,30207,2.44,9745,23750,2.44,9378,23411,2.5,13719,29702,2.17,11340,23530,2.07,9506,19639,2.07
12. Jamtara,Autumn,,,,2770.74,4951.31,1.79,2709.74,3403.43,1.26,2709.73,2679.93,0.99,2371.91,3640,1.53,2206.13,2656,1.2,2595.72,3382,1.3,2082,2040,0.98,,,,1256,1900,1.51,1301,1599,1.23,1293,1448,1.12,1312,2064,1.57,1579,1882,1.19,1566,2701,1.72,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13345,33363,2.5,7850,10205,1.3,9294,17036,1.83,12946,24597,1.9,11505,24161,2.1,4938,10039,2.03
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,152,2,50,75,1.5,160,410,2.56,351,1088,3.1,194,605,3.12,224,394,1.76
,Total,,,0,2770.74,4951.31,1.79,2709.74,3403.43,1.26,2709.73,2679.93,0.99,2371.91,3640,1.53,2206.13,2656,1.2,2595.72,3382,1.3,2082,2040,0.98,,,0,1256,1900,1.51,1301,1599,1.23,1293,1448,1.12,1312,2064,1.57,1579,1882,1.19,1566,2701,1.72,13421,33515,2.5,7900,10280,1.3,9454,17446,1.85,13297,25685,1.93,11699,24766,2.12,5162,10433,2.02
13. Khunti,Autumn,,,,,,,,,,,,,,,,,,,535.53,663,1.24,425,536,1.26,,,,476,880,1.85,385,705,1.83,392,752,1.92,412,745,1.81,2408,3301,1.37,757,1068,1.41,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3627,8705,2.4,3744,4848,1.29,1534,3373,2.2,7672,19119,2.49,6512,19289,2.96,6127,10722,1.75
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,225,2.1,,,,32,90,2.81,1617,4528,2.8,1400,3920,2.8,1510,2643,1.75
,Total,,,0,,,0,,,0,,,0,,,0,,,0,535.53,663,1.24,425,536,1.26,,,0,476,880,1.85,385,705,1.83,392,752,1.92,412,745,1.81,2408,3301,1.37,757,1068,1.41,3734,8930,2.39,3744,4848,1.29,1566,3463,2.21,9289,23647,2.55,7912,23209,2.93,7637,13365,1.75
14. Koderma,Autumn,,,,476.37,537.35,1.13,670.23,831.75,1.24,680.74,701.16,1.03,857.67,1287,1.5,944.81,954,1.01,571.27,244,0.43,370,422,1.14,,,,437,492,1.13,598,743,1.24,729,1062,1.46,823,1107,1.35,753,1023,1.36,787,996,1.27,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8453,16906,2,7965,,0,7628,15256,2,8470,16940,2,7757,16135,2.08,8470,10164,1.2
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,257,1.9,30,65,2.17,40,76,1.9,140,266,1.9,,,,1000,1200,1.2
,Total,,,0,476.37,537.35,1.13,670.23,831.75,1.24,680.74,701.16,1.03,857.67,1287,1.5,944.81,954,1.01,571.27,244,0.43,370,422,1.14,,,0,437,492,1.13,598,743,1.24,729,1062,1.46,823,1107,1.35,753,1023,1.36,787,996,1.27,8588,17163,2,7995,65,0.01,7668,15332,2,8610,17206,2,7757,16135,2.08,9470,11364,1.2
15. Latehar,Autumn,,,,10365.92,22317.83,2.15,10704.44,16666.81,1.56,6573.28,9123.71,1.39,6369.21,8274,1.3,6918.96,7632,1.1,6883.68,5115,0.74,6690,3633,0.54,,,,6959,6667,0.96,9667,8091,0.84,11098,10909,0.98,10402,9892,0.95,10369,5464,0.53,10608,30636,2.89,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19020,12249,0.64,19100,12300,0.64,16810,26644,1.59,19508,30901,1.58,19554,30798,1.58,17008,26788,1.58
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0
,Total,,,0,10365.92,22317.83,2.15,10704.44,16666.81,1.56,6573.28,9123.71,1.39,6369.21,8274,1.3,6918.96,7632,1.1,6883.68,5115,0.74,6690,3633,0.54,,,0,6959,6667,0.96,9667,8091,0.84,11098,10909,0.98,10402,9892,0.95,10369,5464,0.53,10608,30636,2.89,19020,12249,0.64,19100,12300,0.64,16810,26644,1.59,19508,30901,1.58,19554,30798,1.58,19008,26788,1.41
16. Lohardaga,Autumn,,,,1793.8,2760.66,1.54,1947.89,2360.84,1.21,1947.89,2280.98,1.17,1838.99,2014,1.1,2001.44,3040,1.52,2083.97,3168,1.52,1311,1602,1.22,,,,2480,5042,2.03,3105,6176,1.99,2552,5612,2.2,3271,7834,2.39,2984,3509,1.18,2649,8763,3.31,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6464,19663,3.04,5371,16382,3.05,5369,16375,3.05,5376,16182,3.01,4435,14192,3.2,4985,15204,3.05
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,1.5,20,61,3.05,39,119,3.05,312,952,3.05,1000,0,0
,Total,,,0,1793.8,2760.66,1.54,1947.89,2360.84,1.21,1947.89,2280.98,1.17,1838.99,2014,1.1,2001.44,3040,1.52,2083.97,3168,1.52,1311,1602,1.22,,,0,2480,5042,2.03,3105,6176,1.99,2552,5612,2.2,3271,7834,2.39,2984,3509,1.18,2649,8763,3.31,6464,19663,3.04,5391,16412,3.04,5389,16436,3.05,5415,16301,3.01,4747,15144,3.19,5985,15204,2.54
17. Pakur,Autumn,2730.54,4912.24,1.8,1423.19,1306.49,0.92,2468.48,3011.54,1.22,2459.7,2115.34,0.86,2350.61,2348,1,2865.34,3963,1.38,2173.57,3297,1.52,1798,1728,0.96,,,,1800,2155,1.2,1639,2514,1.53,1481,1595,1.08,1294,1698,1.31,1263,1970,1.56,1518,3473,2.29,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10735,21470,2,10677,14606,1.37,8649,12974,1.5,10725,16088,1.5,9321,13982,1.5,6229,6229,1
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,1652,2.25,466,979,2.1,441,926,2.1,987,2073,2.1,1093,2295,2.1,1750,3343,1.91
,Total,2730.54,4912.24,1.8,1423.19,1306.49,0.92,2468.48,3011.54,1.22,2459.7,2115.34,0.86,2350.61,2348,1,2865.34,3963,1.38,2173.57,3297,1.52,1798,1728,0.96,,,0,1800,2155,1.2,1639,2514,1.53,1481,1595,1.08,1294,1698,1.31,1263,1970,1.56,1518,3473,2.29,11469,23122,2.02,11143,15585,1.4,9090,13900,1.53,11712,18161,1.55,10414,16277,1.56,7979,9572,1.2
18. Palamu,Autumn,9659.7,11127.97,1.15,11685.65,15612.03,1.34,10196.22,10430.73,1.02,6803.86,5830.91,0.86,8245.48,14297,1.73,8259.53,8565,1.04,8321.83,9570,1.15,7608,6802,0.89,,,,7765,10584,1.36,23521,17994,0.77,12199,14017,1.15,20297,55796,2.75,25000,21200,0.85,25263,49869,1.97,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27520,57792,2.1,25487,24977,0.98,26912,42602,1.58,25077,39772,1.59,25580,37679,1.47,19400,24677,1.27
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,1645,1.6,45,90,2,142,221,1.56,850,1292,1.52,528,835,1.58,2388,3778,1.58
,Total,9659.7,11127.97,1.15,11685.65,15612.03,1.34,10196.22,10430.73,1.02,6803.86,5830.91,0.86,8245.48,14297,1.73,8259.53,8565,1.04,8321.83,9570,1.15,7608,6802,0.89,,,0,7765,10584,1.36,23521,17994,0.77,12199,14017,1.15,20297,55796,2.75,25000,21200,0.85,25263,49869,1.97,28548,59437,2.08,25532,25067,0.98,27054,42823,1.58,25927,41064,1.58,26108,38514,1.48,21788,28455,1.31
19. Ramgarh,Autumn,,,,,,,,,,,,,,,,,,,1322.06,1392,1.05,1100,938,0.85,,,,1272,1715,1.35,1326,2456,1.85,993,1904,1.92,956,1364,1.43,883,1324,1.5,796,1512,1.9,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032,25080,2.5,9496,23740,2.5,7098,17745,2.5,9737,20837,2.14,8147,17516,2.15,10261,23190,2.26
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,1.54,14,20,1.43,,,,173,372,2.15,800,0,0
,Total,,,0,,,0,,,0,,,0,,,0,,,0,1322.06,1392,1.05,1100,938,0.85,,,0,1272,1715,1.35,1326,2456,1.85,993,1904,1.92,956,1364,1.43,883,1324,1.5,796,1512,1.9,10032,25080,2.5,9509,23760,2.5,7112,17765,2.5,9737,20837,2.14,8320,17888,2.15,11061,23190,2.1
20. Ranchi,Autumn,3453.05,3895.04,1.13,3572,5643.78,1.58,3521.05,4070.33,1.16,2850.67,2996.05,1.05,3689.43,5553,1.51,3191.89,3964,1.24,2534.7,3384,1.34,2240,1893,0.85,,,,2029,4746,2.34,2125,6571,3.09,2371,6907,2.91,2226,6177,2.77,2289,3102,1.36,2146,7346,3.42,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11287,28218,2.5,9940,22862,2.3,10639,29651,2.79,11445,32046,2.8,10949,30657,2.8,9209,20260,2.2
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803,4688,2.6,1586,4282,2.7,1771,4428,2.5,1587,4440,2.8,1725,4830,2.8,3250,8450,2.6
,Total,3453.05,3895.04,1.13,3572,5643.78,1.58,3521.05,4070.33,1.16,2850.67,2996.05,1.05,3689.43,5553,1.51,3191.89,3964,1.24,2534.7,3384,1.34,2240,1893,0.85,,,0,2029,4746,2.34,2125,6571,3.09,2371,6907,2.91,2226,6177,2.77,2289,3102,1.36,2146,7346,3.42,13090,32906,2.51,11526,27144,2.36,12410,34079,2.75,13032,36486,2.8,12674,35487,2.8,12459,28710,2.3
21. Sahebganj,Autumn,12.2,19.11,1.57,2154.46,3675.51,1.71,1872.32,3188.56,1.7,1178.42,1159.57,0.98,1701.03,1465,0.86,1548.8,1120,0.72,1270.42,1566,1.23,840,444,0.53,,,,2335,2480,1.06,1455,1385,0.95,1335,1428,1.07,1326,1688,1.27,1471,1450,0.99,3016,1710,0.57,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,28151,1.92,10195,23785,2.33,10810,33003,3.05,11350,25481,2.25,14457,32456,2.25,5844,9473,1.62
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,806,0.86,802,690,0.86,1005,864,0.86,1057,909,0.86,1062,913,0.86,1000,860,0.86
,Total,12.2,19.11,1.57,2154.46,3675.51,1.71,1872.32,3188.56,1.7,1178.42,1159.57,0.98,1701.03,1465,0.86,1548.8,1120,0.72,1270.42,1566,1.23,840,444,0.53,,,0,2335,2480,1.06,1455,1385,0.95,1335,1428,1.07,1326,1688,1.27,1471,1450,0.99,3016,1710,0.57,15637,28957,1.85,10997,24475,2.23,11815,33867,2.87,12407,26390,2.13,15519,33369,2.15,6844,10333,1.51
22. Saraikela kharsawan,Autumn,,,,3251.07,4356.43,1.34,922.92,1414.83,1.53,726.12,608.49,0.84,842.88,1423,1.69,790.32,955,1.21,498.37,466,0.94,491,438,0.89,,,,487,418,0.86,467,442,0.95,555,549,0.99,555,610,1.1,359,321,0.89,341,648,1.9,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6805,14291,2.1,5175,7349,1.42,5415,5794,1.07,5476,12047,2.2,5934,13055,2.2,6858,12344,1.8
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,864,1.8,373,671,1.8,223,401,1.8,163,293,1.8,198,356,1.8,565,1017,1.8
,Total,,,0,3251.07,4356.43,1.34,922.92,1414.83,1.53,726.12,608.49,0.84,842.88,1423,1.69,790.32,955,1.21,498.37,466,0.94,491,438,0.89,,,0,487,418,0.86,467,442,0.95,555,549,0.99,555,610,1.1,359,321,0.89,341,648,1.9,7285,15155,2.08,5548,8020,1.45,5638,6195,1.1,5639,12340,2.19,6132,13411,2.19,7423,13361,1.8
23. Simdega,Autumn,,,,590.45,577.46,0.98,4781.13,6545.36,1.37,447,651.73,1.46,416.57,767,1.84,488.44,614,1.26,501.79,797,1.59,449,625,1.39,,,,405,459,1.13,288,340,1.18,577,784,1.36,430,700,1.63,7997,11836,1.48,278,770,2.77,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,20000,2.5,8000,20000,2.5,7855,19245,2.45,7882,19705,2.5,7879,19698,2.5,4938,8888,1.8
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,3116,3.1,35,109,3.11,1165,3262,2.8,2171,6079,2.8,2177,6096,2.8,2500,6500,2.6
,Total,,,0,590.45,577.46,0.98,4781.13,6545.36,1.37,447,651.73,1.46,416.57,767,1.84,488.44,614,1.26,501.79,797,1.59,449,625,1.39,,,0,405,459,1.13,288,340,1.18,577,784,1.36,430,700,1.63,7997,11836,1.48,278,770,2.77,9005,23116,2.57,8035,20109,2.5,9020,22507,2.5,10053,25784,2.56,10056,25794,2.57,7438,15388,2.07
24. West singhbhum,Autumn,1220.69,1004.62,0.82,1142.5,1227.05,1.07,1270.21,1931.98,1.52,1301.6,1205.28,0.93,1429.78,1055,0.74,607.14,579,0.95,1463.99,1323,0.9,1103,781,0.71,,,,1181,887,0.75,1311,1514,1.15,1538,2633,1.71,1346,2261,1.68,1519,2022,1.33,,,,,,,,,,,,,,,,,,,,,
,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7892,7576,0.96,6811,9154,1.34,3881,4789,1.23,4583,5665,1.24,8312,9642,1.16,9026,10515,1.16
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,73,2.15,,,,8,17,2.13,6,13,2.17,13,15,1.15,500,1075,2.15
