State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Geyzing,Kharif,1350,1131,0.84,1350,1100,0.81,1350,1000,0.74,1350,1100,0.81,1340,1090,0.81,1340,1080,0.81,1160,1160,1,450,400,0.89,1290,1140,0.88,800,700,0.88,1200,1051,0.88,1190,1040,0.87,1190,1090,0.92,1210,1110,0.92,1200,1102,0.92,546,520,0.95,480,457,0.95,381,363,0.95,367,350,0.95,343,328,0.96,338,323,0.96,340,325,0.96,295,284,0.96
3. Mangan,Kharif,400,269,0.67,400,274,0.69,400,240,0.6,400,300,0.75,400,310,0.78,400,310,0.78,310,310,1,40,310,7.75,300,250,0.83,630,520,0.83,500,413,0.83,300,250,0.83,300,250,0.83,300,257,0.86,300,257,0.86,302,260,0.86,300,260,0.87,302,263,0.87,300,261,0.87,306,266,0.87,321,280,0.87,328,286,0.87,306,267,0.87
4. Namchi,Kharif,1400,1180,0.84,1400,1150,0.82,1400,1150,0.82,1400,1190,0.85,1400,120,0.09,140,1240,8.86,1020,1020,1,1270,1110,0.87,1300,1140,0.88,1730,1520,0.88,1500,1320,0.88,1450,1290,0.89,1450,1370,0.94,1450,1400,0.97,1460,1410,0.97,1310,1290,0.98,1270,1251,0.99,1268,1249,0.99,1268,1251,0.99,1250,1233,0.99,1268,1251,0.99,1244,1229,0.99,1168,1154,0.99
5. Pakyong,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,1032,1,702,703,1
6. Soreng,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,86,0.93
Total (Soyabean),,4150,3410,0.82,4150,3314,0.8,3890,2910,0.75,3890,3210,0.83,3890,2170,0.56,2630,3330,1.27,3230,3230,1,2360,2350,1,3600,3160,0.88,4200,3650,0.87,4200,3749,0.89,3870,3470,0.9,3860,3610,0.94,3880,3673,0.95,4060,3853,0.95,3278,3190,0.97,3175,3094,0.97,3071,2996,0.98,2962,2890,0.98,2929,2859,0.98,2957,2886,0.98,2942,2872,0.98,2862,2794,0.98
10. Urad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Gangtok,Kharif,360,180,0.5,360,180,0.5,360,200,0.56,360,200,0.56,360,230,0.64,410,300,0.73,390,280,0.72,390,280,0.72,500,410,0.82,830,710,0.86,900,810,0.9,870,780,0.9,290,280,0.97,290,284,0.98,290,284,0.98,290,290,1,291,292,1,287,288,1,500,501,1,455,459,1.01,454,458,1.01,456,1462,3.21,241,244,1.01
2. Geyzing,Kharif,1700,1279,0.75,1700,1240,0.73,1700,1280,0.75,1700,1290,0.76,1700,1290,0.76,174,1340,7.7,1800,1410,0.78,190,130,0.68,1400,1300,0.93,850,700,0.82,940,780,0.83,830,700,0.84,1220,1060,0.87,1230,1070,0.87,1210,1053,0.87,914,811,0.89,711,632,0.89,703,626,0.89,518,461,0.89,634,565,0.89,634,570,0.9,638,574,0.9,342,315,0.92
3. Mangan,Kharif,20,9,0.45,20,9,0.45,20,10,0.5,20,10,0.5,20,10,0.5,20,10,0.5,20,40,2,20,110,5.5,20,16,0.8,330,270,0.82,260,212,0.82,190,160,0.84,,,,,,,,,,,,,,,,,,,,,,,,,67,63,0.94,72,68,0.94,,,
