State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Odisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,15588,2307,0.15,22883,6223,0.27,17138,1885.2,0.11,19545,4475.8,0.23,19957,4949.3,0.25,14144,3776.4,0.27,15203,3481.5,0.23,14091,3128.2,0.22,9960,2390.4,0.24,11866,3144.5,0.27,11661,4151.3,0.36,6766,1123.2,0.17,8778,3669.2,0.42,6782,2841.7,0.42,6367,2203,0.35,5646,1484.9,0.26,3028,1429.2,0.47,1300,427.7,0.33,1636,433.5,0.26,1938,542.6,0.28,2284,906.7,0.4,8538,3244.4,0.38,3328,1271.3,0.38
3. Baleshwar,Kharif,,,,,,,2,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer,,,,,,,,,,,,,,,,1,0.2,0.2,1,0.2,0.2,1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,2,2,1,40,16.4,0.41,2,0.7,0.35,12,4.8,0.4,1,0.5,0.5,7,3.6,0.51,42,13.9,0.33,,,,2,1.1,0.55,1,0.2,0.2,1,0.2,0.2,1,2,2,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,2,1,0.5,,,0,2,2,1,41,16.6,0.4,3,0.9,0.3,13,4.9,0.38,1,0.5,0.5,7,3.6,0.51,42,13.9,0.33,,,0,2,1.1,0.55,1,0.2,0.2,1,0.2,0.2,1,2,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0
4. Bargarh,Kharif,832,111.5,0.13,1198,370.2,0.31,1218,227.8,0.19,1349,460,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,1303,398.7,0.31,1049,375.5,0.36,1094,333.7,0.31,1120,312.5,0.28,1057,327.7,0.31,1519,531.7,0.35,1348,492,0.36,876,266.3,0.3,1232,412.7,0.33,1019,321,0.32,770,217.9,0.28,547,151,0.28,331,104.6,0.32,185,62,0.34,350,117.3,0.34,300,81,0.27,355,111.1,0.31,274,72.9,0.27,357,126.7,0.35
,Total,832,111.5,0.13,1198,370.2,0.31,1218,227.8,0.19,1349,460,0.34,1303,398.7,0.31,1049,375.5,0.36,1094,333.7,0.31,1120,312.5,0.28,1057,327.7,0.31,1519,531.7,0.35,1348,492,0.36,876,266.3,0.3,1232,412.7,0.33,1019,321,0.32,770,217.9,0.28,547,151,0.28,331,104.6,0.32,185,62,0.34,350,117.3,0.34,300,81,0.27,355,111.1,0.31,274,72.9,0.27,357,126.7,0.35
5. Bhadrak,Kharif,7,3.6,0.51,14,3.4,0.24,33,5.3,0.16,3,0.7,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7,0.35,,,,,,,1,0.2,0.2,,,,,,,,,,,,,,,,,,,3,0.9,0.3,,,,,,
,Winter,,,,,,,,,,,,,1,0.3,0.3,3,0.8,0.27,4,0.8,0.2,7,1.6,0.23,4,2,0.5,16,4,0.25,,,,46,6.5,0.14,,,,,,,,,,,,,,,,,,,3,2.7,0.9,8,11,1.38,1,0.3,0.3,59,27.9,0.47,,,
,Total,7,3.6,0.51,14,3.4,0.24,33,5.3,0.16,3,0.7,0.23,1,0.3,0.3,3,0.8,0.27,4,0.8,0.2,7,1.6,0.23,4,2,0.5,16,4,0.25,2,0.7,0.35,46,6.5,0.14,,,0,1,0.2,0.2,,,0,,,0,,,0,,,0,3,2.7,0.9,8,11,1.38,4,1.2,0.3,59,27.9,0.47,,,0
