State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Cowpea(Lobia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.2,1.2,,,,6,7.2,1.2,6,7.2,1.2
Total (Cowpea(Lobia)),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,6,7.2,1.2,,,0,6,7.2,1.2,6,7.2,1.2
5. Gram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,1,,,,,,,,,,,,,,,,100,105,1.05,,,,200,210,1.05,,,
,Winter,140,140,1,161,129,0.8,148,118,0.8,152,122,0.8,184,151,0.82,137,162,1.18,115,141,1.23,200,100,0.5,200,100,0.5,100,100,1,330,330,1,138,138,1,173,173,1,,,,,,,,,,,,,,,,,,,,,
,Total,140,140,1,161,129,0.8,148,118,0.8,152,122,0.8,184,151,0.82,137,162,1.18,115,141,1.23,200,100,0.5,200,100,0.5,100,100,1,410,410,1,138,138,1,173,173,1,,,0,,,0,,,0,100,105,1.05,,,0,200,210,1.05,,,0
Total (Gram),,140,140,1,161,129,0.8,148,118,0.8,152,122,0.8,184,151,0.82,137,162,1.18,115,141,1.23,200,100,0.5,200,100,0.5,100,100,1,410,410,1,138,138,1,173,173,1,,,0,,,0,,,0,100,105,1.05,,,0,200,210,1.05,,,0
6. Groundnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,60,30,0.5,,,,,,,,,,19,19,1,18,16,0.89,16,16,1,,,,,,,,,,20,20,1,17,17,1,20,17,0.85,,,,,,,16,15,0.94,3,4.5,1.5,17,16,0.94,3,4.5,1.5,3,4.5,1.5
Total (Groundnut),,60,30,0.5,,,0,,,0,,,0,19,19,1,18,16,0.89,16,16,1,,,0,,,0,,,0,20,20,1,17,17,1,20,17,0.85,,,0,,,0,16,15,0.94,3,4.5,1.5,17,16,0.94,3,4.5,1.5,3,4.5,1.5
7. Jowar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,529,447,0.84,501,558,1.11,528,588,1.11,537,564,1.05,571,476,0.83,504,605,1.2,481,625,1.3,500,400,0.8,500,400,0.8,500,400,0.8,405,446,1.1,441,353,0.8,475,380,0.8,450,360,0.8,465,372,0.8,467,376,0.81,5,11,2.2,451,385,0.85,5,110,22,5,11,2.2
Total (Jowar),,529,447,0.84,501,558,1.11,528,588,1.11,537,564,1.05,571,476,0.83,504,605,1.2,481,625,1.3,500,400,0.8,500,400,0.8,500,400,0.8,405,446,1.1,441,353,0.8,475,380,0.8,450,360,0.8,465,372,0.8,467,376,0.81,5,11,2.2,451,385,0.85,5,110,22,5,11,2.2
8. Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,,,,,,,57,60,1.05,100,105,1.05,100,110,1.1,100,110,1.1,150,125,0.83,,,,,,,,,,100,100,1,75,75,1,75,75,1,75,75,1,75,75,1,71,71,1,4,4,1,83,89,1.07,4,4,1,4,4,1
,Rabi,20,20,1,19,20,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,1,35,35,1,35,35,1,35,35,1,32,28,0.88,,,,25,30,1.2,,,,,,
,Total,20,20,1,19,20,1.05,57,60,1.05,100,105,1.05,100,110,1.1,100,110,1.1,150,125,0.83,,,0,,,0,,,0,100,100,1,110,110,1,110,110,1,110,110,1,110,110,1,103,99,0.96,4,4,1,108,119,1.1,4,4,1,4,4,1
Total (Maize),,20,20,1,19,20,1.05,57,60,1.05,100,105,1.05,100,110,1.1,100,110,1.1,150,125,0.83,,,0,,,0,,,0,100,100,1,110,110,1,110,110,1,110,110,1,110,110,1,103,99,0.96,4,4,1,108,119,1.1,4,4,1,4,4,1
9. Niger seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Kharif,105,105,1,90,273,3.03,182,553,3.04,170,171,1.01,186,187,1.01,177,156,0.88,168,168,1,,,,,,,,,,80,60,0.75,139,84,0.6,139,84,0.6,,,,,,,133,79,0.59,10,3,0.3,129,88,0.68,10,3,0.3,10,3,0.3
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,0.4,,,,20,8,0.4,20,8,0.4
,Winter,30,30,1,70,82,1.17,20,23,1.15,30,30,1,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,135,135,1,160,355,2.22,202,576,2.85,200,201,1.01,216,217,1,177,156,0.88,168,168,1,,,0,,,0,,,0,80,60,0.75,139,84,0.6,139,84,0.6,,,0,,,0,133,79,0.59,30,11,0.37,129,88,0.68,30,11,0.37,30,11,0.37
Total (Niger seed),,135,135,1,160,355,2.22,202,576,2.85,200,201,1.01,216,217,1,177,156,0.88,168,168,1,,,0,,,0,,,0,80,60,0.75,139,84,0.6,139,84,0.6,,,0,,,0,133,79,0.59,30,11,0.37,129,88,0.68,30,11,0.37,30,11,0.37
10. Other Rabi pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Dadra and Nagar Haveli,Rabi,3940,3940,1,4800,3940,0.82,4731,3782,0.8,4810,3850,0.8,3916,3211,0.82,3500,4151,1.19,3485,4259,1.22,3200,2700,0.84,3100,2600,0.84,3300,2800,0.85,2913,2913,1,2635,2635,1,2630,2630,1,,,,,,,,,,150,105,0.7,,,,160,160,1,160,160,1
Total (Other Rabi pulses),,3940,3940,1,4800,3940,0.82,4731,3782,0.8,4810,3850,0.8,3916,3211,0.82,3500,4151,1.19,3485,4259,1.22,3200,2700,0.84,3100,2600,0.84,3300,2800,0.85,2913,2913,1,2635,2635,1,2630,2630,1,,,0,,,0,,,0,150,105,0.7,,,0,160,160,1,160,160,1
11. Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
