State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,57,532.1,9.34,57,532.1,9.34,120,1120,9.33,161,1502.6,9.33,132,1231.4,9.33,132,1231.4,9.33,139,1296.7,9.33,137,1278.1,9.33,2,18.6,9.3,154,1399.3,9.09,154,1436.5,9.33,156,1455.6,9.33,58,1492.9,25.74,,,0,,,0,,,0,,,0
14. Poonch,Kharif,,,,,,,,,,,,,,,,12,25.4,2.12,18,62.3,3.46,12,47.2,3.93,,,,11,63.9,5.81,23,158.3,6.88,8,48.8,6.1,28,105.2,3.76,,,,1,5.2,5.2,2,7.3,3.65,38,149.3,3.93,36,347.3,9.65,37,357,9.65,78,1342.1,17.21,85,740.7,8.71,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,127.8,25.56,,,,,,,,,,,,,,,,18,176.5,9.81,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,12,25.4,2.12,18,62.3,3.46,12,47.2,3.93,,,0,11,63.9,5.81,28,286.1,10.22,8,48.8,6.1,28,105.2,3.76,,,0,1,5.2,5.2,2,7.3,3.65,56,325.8,5.82,36,347.3,9.65,37,357,9.65,78,1342.1,17.21,85,740.7,8.71,,,0,,,0
15. Pulwama,Kharif,,,,,,,,,,,,,,,,100,265,2.65,131,1617.1,12.34,16,88.4,5.53,,,,59,240.3,4.07,12,55.5,4.63,4,32.2,8.05,,,,,,,,,,,,,,,,,,,98,1198.6,12.23,3,34.6,11.53,3,21,7,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,331,4344.3,13.12,331,4344.3,13.12,352,2182.3,6.2,349,3479.5,9.97,353,3582.4,10.15,326,2404.1,7.37,309,2724.6,8.82,309,2724.6,8.82,,,,255,2500.5,9.81,468,5529.8,11.82,169,852,5.04,163,1015.8,6.23,158,2436.511,15.42,153,1621.4367,10.6,140,2488,17.77,143,1650.688,11.54
,Total,,,0,,,0,,,0,,,0,,,0,100,265,2.65,462,5961.4,12.9,347,4432.7,12.77,352,2182.3,6.2,408,3719.8,9.12,365,3637.9,9.97,330,2436.3,7.38,309,2724.6,8.82,309,2724.6,8.82,,,0,255,2500.5,9.81,468,5529.8,11.82,169,852,5.04,261,2214.4,8.48,161,2471.111,15.35,156,1642.4367,10.53,140,2488,17.77,143,1650.688,11.54
16. Rajauri,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.1,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,148.2,11.4,,,,,,,,,,2,23,11.5,2,24.978,12.49
,Total,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1,50.1,50.1,,,0,,,0,,,0,,,0,13,148.2,11.4,,,0,,,0,,,0,2,23,11.5,2,24.978,12.49
17. Reasi,Rabi,,,,,,,,,,,,,,,,,,,,,,32,80.4,2.51,40,1322.9,33.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. Samba,Kharif,,,,,,,,,,,,,,,,,,,,,,6,33.4,5.57,,,,,,,5,34.4,6.88,2,27.4,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,230.1,25.57,9,206.4,22.93,8,146.5,18.31,8,146.5,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,,,0,6,33.4,5.57,,,0,,,0,14,264.5,18.89,11,233.8,21.25,8,146.5,18.31,8,146.5,18.31,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
19. Shopian,Kharif,,,,,,,,,,,,,,,,,,,,,,98,541.5,5.53,,,,98,811.8,8.28,98,571.5,5.83,98,213.1,2.17,98,1092.5,11.15,,,,125,1326.3,10.61,291,998.2,3.43,291,2830.7,9.73,291,3969.6,13.64,291,3969.6,13.64,16,380.8,23.8,16,184.3,11.52,,,,,,
20. Srinagar,Kharif,,,,,,,,,,,,,,,,14,101.6,7.26,14,129.1,9.22,6,33.8,5.63,,,,4,28.4,7.1,4,18.5,4.63,1,7.7,7.7,33,132.9,4.03,,,,18,247.3,13.74,90,1174.3,13.05,90,167.3,1.86,90,1093.3,12.15,90,1100.8,12.23,90,384.3,4.27,82,573.8,7,,,,,,
